exist	VERBadvclVERB	find	5
a	DETdetNOUN	setting	5
parameter	NOUNcompoundNOUN	setting	5
parameter	NOUNinCOMPOUND	parameter setting	5
setting	NOUNinCOMPOUND	parameter setting	5
5	ABOUT	parameter setting	5
exist	VERBrev_nsubjNOUN	setting	5
5	ABOUT	setting	5
of	ADPcaseDET	a	5
a	DETnmodNOUN	setting	5
that	PRONnsubjVERB	achieve	5
achieve	VERBacl:relclNOUN	setting	5
good	ADJamodNOUN	result	5
achieve	VERBrev_objNOUN	result	5
5	ABOUT	result	5
(	PUNCTpunctVERB	find	5
for	ADPcaseNOUN	example	5
solve	VERBrev_oblNOUN	example	5
5	ABOUT	example	5
,	PUNCTpunctVERB	find	5
because	SCONJmarkVERB	solve	5
solve	VERBrev_nsubjNOUN	human	5
5	ABOUT	human	5
can	AUXauxVERB	solve	5
solve	VERBadvclVERB	find	5
the	DETdetNOUN	task	5
solve	VERBrev_objNOUN	task	5
5	ABOUT	task	5
very	ADVadvmodNOUN	backpropagation	5
find	VERBrev_nsubjNOUN	backpropagation	5
5	ABOUT	backpropagation	5
will	AUXauxVERB	find	5
find	VERB_PREDICATE_OF	5	5
these	DETdetNOUN	parameter	5
find	VERBrev_objNOUN	parameter	5
5	ABOUT	parameter	5
and	CCONJccVERB	solve	5
solve	VERBconjVERB	find	5
the	DETdetNOUN	problem	5
solve	VERBrev_objNOUN	problem	5
5	ABOUT	problem	5
.	PUNCTpunctVERB	find	5
despite	ADPcaseNOUN	flexibility	6
they	PRONnmod:possNOUN	flexibility	6
apply	VERBrev_oblNOUN	flexibility	6
6	ABOUT	flexibility	6
and	CCONJccNOUN	power	6
power	NOUNconjNOUN	flexibility	6
,	PUNCTpunctVERB	apply	6
DNNs	PROPNnsubj:passVERB	apply	6
can	AUXauxVERB	apply	6
only	ADVadvmodVERB	apply	6
be	AUXaux:passVERB	apply	6
apply	VERB_PREDICATE_OF	6	6
to	ADPcaseNOUN	problem	6
apply	VERBrev_oblNOUN	problem	6
6	ABOUT	problem	6
whose	PRONnmod:possNOUN	input	6
input	NOUNacl:relclNOUN	problem	6
and	CCONJccVERB	encode	6
be	AUXaux:passVERB	encode	6
sensibly	ADVadvmodVERB	encode	6
encode	VERBconjVERB	apply	6
with	ADPcaseNOUN	vector	6
encode	VERBrev_oblNOUN	vector	6
6	ABOUT	vector	6
of	ADPcaseNOUN	dimensionality	6
fix	VERBamodNOUN	dimensionality	6
dimensionality	NOUNnmodNOUN	vector	6
.	PUNCTpunctVERB	apply	6
it	PRONnsubjNOUN	limitation	7
be	AUXcopNOUN	limitation	7
a	DETdetNOUN	limitation	7
significant	ADJamodNOUN	limitation	7
limitation	NOUN_PREDICATE_OF	7	7
,	PUNCTpunctNOUN	limitation	7
important	ADJamodNOUN	problem	7
express	VERBrev_nsubj:passNOUN	problem	7
7	ABOUT	problem	7
be	AUXaux:passVERB	express	7
best	ADVadvmodVERB	express	7
express	VERBparataxisNOUN	limitation	7
with	ADPcaseNOUN	sequence	7
express	VERBrev_oblNOUN	sequence	7
7	ABOUT	sequence	7
whose	PRONnmod:possNOUN	length	7
know	VERBrev_nsubj:passNOUN	length	7
7	ABOUT	length	7
be	AUXaux:passVERB	know	7
not	PARTadvmodVERB	know	7
know	VERBacl:relclNOUN	sequence	7
know	VERBrev_objNOUN	example	7
7	ABOUT	example	7
,	PUNCTpunctNOUN	problem	7
speech	NOUNcompoundNOUN	recognition	7
speech	NOUNinCOMPOUND	speech recognition	7
recognition	NOUNinCOMPOUND	speech recognition	7
7	ABOUT	speech recognition	7
problem	NOUNrev_nsubjNOUN	recognition	7
7	ABOUT	recognition	7
and	CCONJccNOUN	translation	7
machine	NOUNcompoundNOUN	translation	7
machine	NOUNinCOMPOUND	machine translation	7
translation	NOUNinCOMPOUND	machine translation	7
7	ABOUT	machine translation	7
translation	NOUNconjNOUN	recognition	7
be	AUXcopNOUN	problem	7
sequential	ADJamodNOUN	problem	7
problem	NOUNconjVERB	know	7
.	PUNCTpunctNOUN	limitation	7
likewise	ADVadvmodVERB	see	8
,	PUNCTpunctVERB	see	8
question	NOUNcompoundNOUN	answer	8
question	NOUNinCOMPOUND	question answer	8
answer	NOUNinCOMPOUND	question answer	8
8	ABOUT	question answer	8
see	VERBrev_nsubj:passNOUN	answer	8
8	ABOUT	answer	8
can	AUXauxVERB	see	8
also	ADVadvmodVERB	see	8
be	AUXaux:passVERB	see	8
see	VERB_PREDICATE_OF	8	8
as	SCONJmarkVERB	map	8
map	VERBadvclVERB	see	8
a	DETdetNOUN	sequence	8
map	VERBrev_objNOUN	sequence	8
8	ABOUT	sequence	8
of	ADPcaseNOUN	word	8
word	NOUNnmodNOUN	sequence	8
represent	VERBaclNOUN	word	8
the	DETdetNOUN	question	8
represent	VERBrev_objNOUN	question	8
8	ABOUT	question	8
to	ADPcaseNOUN	word	8
of	ADPcaseNOUN	word	8
word	NOUNnmodNOUN	question	8
represent	VERBaclNOUN	word	8
the	DETdetNOUN	answer	8
represent	VERBrev_objNOUN	answer	8
8	ABOUT	answer	8
.	PUNCTpunctVERB	see	8
it	PRONexplADJ	clear	9
be	AUXcopADJ	clear	9
therefore	ADVadvmodADJ	clear	9
clear	ADJ_PREDICATE_OF	9	9
that	SCONJmarkVERB	learn	9
a	DETdetADJ	independent	9
independent	ADJrev_obl:npmodNOUN	domain	9
9	ABOUT	domain	9
-	PUNCTpunctADJ	independent	9
independent	ADJnsubjVERB	learn	9
learn	VERBcsubjADJ	clear	9
to	PARTmarkVERB	map	9
map	VERBxcompVERB	learn	9
map	VERBrev_objNOUN	sequence	9
9	ABOUT	sequence	9
to	ADPcaseNOUN	sequence	9
sequence	NOUNnmodNOUN	sequence	9
would	AUXauxADJ	useful	9
be	AUXcopADJ	useful	9
useful	ADJccompADJ	clear	9
.	PUNCTpunctADJ	clear	9
pose	VERBrev_nsubjNOUN	sequence	10
10	ABOUT	sequence	10
pose	VERB_PREDICATE_OF	10	10
a	DETdetNOUN	challenge	10
pose	VERBrev_objNOUN	challenge	10
10	ABOUT	challenge	10
for	ADPcasePROPN	DNNs	10
DNNs	PROPNnmodNOUN	challenge	10
because	SCONJmarkVERB	require	10
they	PRONnsubjVERB	require	10
require	VERBadvclVERB	pose	10
that	SCONJmarkVERB	know	10
the	DETdetNOUN	dimensionality	10
know	VERBrev_nsubj:passNOUN	dimensionality	10
10	ABOUT	dimensionality	10
of	ADPcaseNOUN	input	10
the	DETdetNOUN	input	10
input	NOUNnmodNOUN	dimensionality	10
be	AUXaux:passVERB	know	10
know	VERBccompVERB	require	10
and	CCONJccVERB	fix	10
fix	VERBconjVERB	know	10
.	PUNCTpunctVERB	pose	10
in	ADPcaseNOUN	paper	11
this	DETdetNOUN	paper	11
show	VERBrev_oblNOUN	paper	11
11	ABOUT	paper	11
,	PUNCTpunctVERB	show	11
we	PRONnsubjVERB	show	11
show	VERB_PREDICATE_OF	11	11
that	SCONJmarkVERB	solve	11
a	DETdetNOUN	application	11
straightforward	ADJamodNOUN	application	11
be	VERBrev_nsubjNOUN	application	11
11	ABOUT	application	11
of	ADPcaseNOUN	architecture	11
the	DETdetNOUN	architecture	11
Memory	PROPNcompoundNOUN	architecture	11
Memory	PROPNinCOMPOUND	Memory architecture	11
architecture	NOUNinCOMPOUND	Memory architecture	11
11	ABOUT	Memory architecture	11
(	PUNCTpunctNOUN	lstm	11
lstm	NOUNcompoundNOUN	architecture	11
lstm	NOUNinCOMPOUND	lstm architecture	11
architecture	NOUNinCOMPOUND	lstm architecture	11
11	ABOUT	lstm architecture	11
)	PUNCTpunctNOUN	lstm	11
architecture	NOUNnmodNOUN	application	11
[	PUNCTpunctNUM	16	11
16	NUMapposNOUN	architecture	11
]	PUNCTpunctNUM	16	11
can	AUXauxVERB	solve	11
solve	VERBacl:relclNOUN	application	11
general	ADJamodNOUN	sequence	11
solve	VERBrev_objNOUN	sequence	11
11	ABOUT	sequence	11
to	ADPcaseNOUN	idea	11
sequence	NOUNcompoundNOUN	idea	11
sequence	NOUNinCOMPOUND	sequence idea	11
idea	NOUNinCOMPOUND	sequence idea	11
11	ABOUT	sequence idea	11
idea	NOUNnmodNOUN	sequence	11
be	VERBccompVERB	show	11
to	PARTmarkVERB	use	11
use	VERBccompVERB	be	11
one	NUMnummodNOUN	lstm	11
use	VERBrev_objNOUN	lstm	11
11	ABOUT	lstm	11
to	PARTmarkVERB	read	11
read	VERBadvclVERB	use	11
the	DETdetNOUN	sequence	11
input	NOUNcompoundNOUN	sequence	11
input	NOUNinCOMPOUND	input sequence	11
sequence	NOUNinCOMPOUND	input sequence	11
11	ABOUT	input sequence	11
read	VERBrev_objNOUN	sequence	11
11	ABOUT	sequence	11
,	PUNCTpunctNOUN	sequence	11
one	NUMnummodNOUN	timestep	11
timestep	NOUNapposNOUN	sequence	11
at	ADPcaseNOUN	time	11
a	DETdetNOUN	time	11
time	NOUNnmodNOUN	timestep	11
,	PUNCTpunctVERB	read	11
to	PARTmarkVERB	obtain	11
obtain	VERBadvclVERB	read	11
large	ADJamodNOUN	representation	11
fixeddimensional	ADJamodNOUN	representation	11
vector	NOUNcompoundNOUN	representation	11
vector	NOUNinCOMPOUND	vector representation	11
representation	NOUNinCOMPOUND	vector representation	11
11	ABOUT	vector representation	11
obtain	VERBrev_objNOUN	representation	11
11	ABOUT	representation	11
,	PUNCTpunctVERB	use	11
and	CCONJccVERB	use	11
then	ADVadvmodVERB	use	11
to	PARTmarkVERB	use	11
use	VERBconjVERB	obtain	11
another	DETdetNOUN	lstm	11
use	VERBrev_objNOUN	lstm	11
11	ABOUT	lstm	11
to	PARTmarkVERB	extract	11
extract	VERBadvclVERB	use	11
the	DETdetNOUN	output	11
extract	VERBrev_objNOUN	output	11
11	ABOUT	output	11
that	PRONnsubjNOUN	vector	11
vector	NOUNacl:relclNOUN	output	11
(	PUNCTpunctNOUN	fig	11
fig	NOUNapposNOUN	vector	11
.	PUNCTpunctVERB	show	11
